id,bachelor
00000,27.5
01000,21.5
01001,21.8
01003,26.6
01005,12.4
01007,11.1
01009,12.3
01011,9
01013,12.3
01015,17.5
01017,10.3
01019,10
01021,11.3
01023,10.8
01025,13.5
01027,9
01029,10.2
01031,21.5
01033,16.9
01035,9.2
01037,9.2
01039,13.2
01041,11.2
01043,13.3
01045,16.6
01047,13.9
01049,10.2
01051,18.8
01053,11.2
01055,15.5
01057,9.7
01059,11.6
01061,8.4
01063,9.2
01065,9.1
01067,13.7
01069,19.4
01071,11.3
01073,28.1
01075,9
01077,20.3
01079,10.3
01081,30.7
01083,18.2
01085,13.5
01087,20.1
01089,37.9
01091,15.7
01093,9
01095,14.7
01097,19.7
01099,11.5
01101,30.5
01103,19.6
01105,11.6
01107,12.3
01109,22.2
01111,13.1
01113,11.9
01115,14.5
01117,39.9
01119,12.1
01121,11.8
01123,15.7
01125,26.9
01127,9.8
01129,9
01131,17
01133,11.7
02000,26.5
02013,12.5
02016,8.5
02020,32.3
02050,14.4
02060,14.2
02068,24.6
02070,20.5
02090,26.3
02100,36.2
02105,22.5
02110,35.8
02122,21.4
02130,24.1
02150,20.7
02164,17.3
02170,19.9
02180,15.1
02185,19.4
02188,13.2
02195,24.7
02198,15.4
02220,26.2
02230,31
02240,16.6
02261,22
02270,11.2
02275,14.8
02282,17
02290,12.9
04000,25.7
04001,9.7
04003,21.6
04005,30.1
04007,14.5
04009,13.5
04011,13
04012,9.9
04013,28
04015,12.1
04017,13.3
04019,29
04021,18
04023,16.3
04025,23.9
04027,13
05000,18.9
05001,12.8
05003,13.9
05005,13.3
05007,24.9
05009,14.6
05011,9.4
05013,10
05015,15.1
05017,10
05019,21
05021,9.4
05023,13.6
05025,12.6
05027,19.7
05029,14.3
05031,22.6
05033,11.8
05035,14.7
05037,13.4
05039,13.7
05041,12.3
05043,19.8
05045,26.6
05047,13
05049,9.1
05051,19.6
05053,16.6
05055,12.7
05057,13.9
05059,11.7
05061,12.4
05063,14.5
05065,12.3
05067,8.4
05069,16.6
05071,13.9
05073,11.6
05075,10.7
05077,8.4
05079,10.4
05081,12.8
05083,10.6
05085,16.5
05087,13.5
05089,15.3
05091,13.8
05093,10.9
05095,11
05097,10.6
05099,12.9
05101,12.1
05103,11.9
05105,11.4
05107,11
05109,11.1
05111,8.8
05113,9.7
05115,19.9
05117,9.6
05119,31
05121,9.7
05123,9.4
05125,21.8
05127,9.1
05129,9.6
05131,17.4
05133,9.3
05135,10.3
05137,7
05139,15.9
05141,13.7
05143,28.5
05145,16.5
05147,10.2
05149,8
06000,29.7
06001,39.9
06003,26.8
06005,19.5
06007,24.8
06009,19.3
06011,12.9
06013,37.7
06015,15
06017,31.1
06019,19.4
06021,14.5
06023,26.9
06025,11.9
06027,21.2
06029,14.6
06031,11.5
06033,16.1
06035,11.5
06037,28.4
06039,12.9
06041,53.9
06043,18.1
06045,23.3
06047,12.7
06049,14.4
06051,29.5
06053,23.6
06055,30.3
06057,32.4
06059,35.2
06061,33.5
06063,20.8
06065,20.4
06067,27.9
06069,17.7
06071,18.2
06073,34
06075,51.1
06077,17.1
06079,30
06081,43.6
06083,31.3
06085,43.9
06087,38.7
06089,19.4
06091,20.9
06093,22
06095,23.9
06097,31.1
06099,16.1
06101,18.5
06103,13
06105,18.1
06107,12.9
06109,17.7
06111,30.3
06113,36.8
06115,12.9
08000,35.5
08001,20
08003,26.6
08005,38.2
08007,35.1
08009,17.1
08011,14.5
08013,56.6
08014,41.9
08015,29.5
08017,20.7
08019,40.3
08021,17.3
08023,17.1
08025,14.6
08027,29.6
08029,18.7
08031,39.3
08033,13.9
08035,53.5
08037,47
08039,27.5
08041,34.9
08043,16.6
08045,25
08047,36.5
08049,27.3
08051,44.1
08053,20.7
08055,23.2
08057,22.3
08059,38.4
08061,19.9
08063,13.2
08065,20
08067,41.6
08069,41.4
08071,18.9
08073,15.9
08075,17.7
08077,24.7
08079,33.5
08081,14.7
08083,24.4
08085,20.3
08087,14.4
08089,16.1
08091,39.9
08093,31.4
08095,15
08097,59.1
08099,17
08101,21
08103,25.7
08105,20.6
08107,46.9
08109,19
08111,45.2
08113,45.9
08115,13.8
08117,48.9
08119,31.7
08121,17.2
08123,25.8
08125,19
09000,35.1
09001,43.4
09003,32.8
09005,32.4
09007,36.8
09009,32
09011,30.7
09013,36
