id	population_density	income_per_capita	bachelor	unemployment
1000	94.4	22732	21.5	12.7
2000	1.2	29382	26.5	8.7
4000	56.3	25203	25.7	12.7
5000	56	20977	18.9	7.3
6000	239.1	29020	29.7	12.5
8000	48.5	29679	35.5	5.7
9000	738.1	36468	35.1	7.9
10000	460.8	28935	27.5	7.9
11000	9856.5	40846	47.1	11.7
12000	350.6	26503	25.6	10.7
13000	168.4	25098	27.1	10.8
15000	211.8	28662	29.2	9.1
16000	19	22262	23.7	7.5
17000	231.1	28469	29.8	10
18000	181	24044	21.9	9.6
19000	54.5	25060	24.2	6.6
20000	34.9	25522	28.8	5.7
21000	109.9	22284	20	11.5
22000	104.9	22535	20.6	8.7
23000	43.1	24980	26.1	8.5
24000	594.8	34236	35.2	7.4
25000	839.4	33460	37.8	8.6
26000	174.8	25172	24.5	13.9
27000	66.6	29431	31.2	6.7
28000	63.2	19534	19.1	10.2
29000	87.1	24423	24.6	9
30000	6.8	22881	27	5.7
31000	23.8	24568	27.1	4.2
32000	24.6	27395	21.5	11.1
33000	147	30640	32.4	6.7
34000	1195.5	34566	34.1	9.6
35000	17	22461	25.1	7.2
36000	411.2	30634	31.8	8
37000	196.1	24547	25.8	10.7
38000	9.7	24978	25.6	3.5
39000	282.3	24830	23.6	10.7
40000	54.7	22561	22.4	6.6
41000	39.9	25893	28.3	10.3
42000	283.9	26678	26	8.7
44000	1018.1	28638	29.8	11.1
45000	153.9	23196	23.5	14
46000	10.7	23445	24.6	4.7
47000	153.9	23557	22.4	12
48000	96.3	24318	25.4	7.9
49000	33.6	22684	28.7	5.5
50000	67.9	27036	32.9	6.7
51000	202.6	31606	33.4	7.7
53000	101.2	29320	30.8	8.4
54000	77.1	20891	17.1	9.1
55000	105	26447	25.5	7.7
56000	5.8	26925	23.2	6
