id,pop_density
1000,94.8
1001,93
1003,117.4
1005,30.6
1007,36.6
1009,89.5
1011,16.9
1013,26.6
1015,194.4
1017,56.9
1019,47.1
1021,63.4
1023,14.9
1025,20.7
1027,23
1029,26.5
1031,74.4
1033,92
1035,15.4
1037,16.5
1039,36.9
1041,22.8
1043,109.6
1045,89.2
1047,44.3
1049,91.8
1051,129.6
1053,40.3
1055,195
1057,27.4
1059,50.3
1061,46.6
1063,13.8
1065,23.9
1067,31
1069,176.6
1071,49.4
1073,592.9
1075,23.7
1077,139
1079,49.4
1081,236.1
1083,152.5
1085,15.6
1087,34.8
1089,424.3
1091,21.2
1093,41.3
1095,166.4
1097,335.6
1099,22.2
1101,295.9
1103,207.1
1105,14.4
1107,22
1109,49
1111,39.3
1113,85.1
1115,133.6
1117,252.2
1119,14.9
1121,110.8
1123,58.1
1125,149.2
1127,84.3
1129,16.1
1131,12.9
1133,39.7
2000,1.3
2013,0.5
2016,1.3
2020,173.4
2050,0.4
2060,2
2068,0.1
2070,0.3
2090,13.5
2100,1.1
2105,0.3
2110,11.9
2122,3.5
2130,2.8
2150,2.1
2164,0.1
2170,3.7
2180,0.4
2185,0.1
2188,0.2
2195,1.2
2198,1.5
2220,3.1
2230,2.1
2240,0.3
2261,0.3
2270,0.4
2275,0.9
2282,0.1
2290,0
4000,57.1
4001,6.5
4003,21.6
4005,7.2
4007,11.2
4009,8
4011,4.7
4012,4.5
4013,421.8
4015,15.2
4017,10.8
4019,107.7
4021,71.4
4023,38.5
4025,26.1
4027,36.4
5000,56.5
5001,19.1
5003,23.4
5005,74.9
5007,268.5
5009,62.8
5011,17.7
5013,8.2
5015,43.7
5017,18.2
5019,26.4
5021,24.8
5023,46.8
5025,14.5
5027,31.9
5029,38.5
5031,139
5033,104.4
5035,82.9
5037,28.8
5039,12.1
5041,16.6
5043,22.3
5045,179.6
5047,29.6
5049,19.9
5051,143.3
5053,28.5
5055,73.9
5057,31
5059,53.4
5061,23.6
5063,48.3
5065,23.1
5067,28.2
5069,87.6
5071,39
5073,14.2
5075,29.2
5077,17.1
5079,24.9
5081,24.4
5083,31.5
5085,90
5087,18.9
5089,27.8
5091,69.9
5093,51
5095,13.3
5097,12.1
5099,14.6
5101,10.1
5103,35.3
5105,18.9
5107,30.8
5109,18.7
5111,32.3
5113,24
5115,76.7
5117,13.3
5119,508.4
5121,27.6
5123,44.1
5125,151.4
5127,12.6
5129,12.1
5131,239
5133,30.6
5135,28.8
5137,20.8
5139,39.9
5141,24.1
5143,220.3
5145,75.5
5147,12.3
5149,23.7
6000,242
6001,2070.1
6003,1.5
6005,63.8
6007,134.6
6009,44.2
6011,18.7
6013,1489.1
6015,28.5
6017,105.9
6019,158.3
6021,21.4
6023,37.8
6025,42.4
6027,1.8
6029,104.7
6031,110.7
6033,51.2
6035,7.5
6037,2437
6039,71.6
6041,490.2
6043,12.6
6045,25
6047,134.3
6049,2.4
6051,4.7
6053,128.6
6055,184.5
6057,103
6059,3865.3
6061,253.8
6063,7.7
6065,310.8
6067,1488.7
6069,40.4
6071,103
6073,746.5
6075,17341.1
6077,500.4
6079,82.5
6081,1621.8
6083,156.1
6085,1402.5
6087,593.7
6089,47.1
6091,3.3
6093,7.1
6095,506.8
6097,309.7
6099,346.9
6101,157.6
6103,21.6
6105,4.3
6107,93.1
6109,24.7
6111,451.3
6113,199.1
6115,114.9
8000,49.4
8001,386.6
8003,21.7
8005,732.9
8007,8.9
8009,1.5
8011,4.1
8013,412.2
8014,1736.2
8015,17.7
8017,1.1
8019,22.8
8021,6.4
8023,3
8025,7.3
8027,5.7
8029,26.7
8031,4052.7
8033,1.9
8035,347.7
8037,30.8
8039,12.5
8041,299.5
8043,30.9
8045,19.1
8047,36.5
8049,7.9
8051,4.8
8053,0.7
8055,4.1
8057,0.8
8059,706.5
8061,0.8
8063,3.8
8065,19.7
8067,30.7
8069,117.7
8071,3.2
8073,2.1
8075,12.3
8077,44.2
8079,0.8
8081,2.8
8083,12.5
8085,18.3
8087,22
8089,14.9
8091,8
8093,7.3
8095,6.4
8097,17.6
8099,7.7
8101,67.3
8103,2.1
8105,13.1
8107,9.8
8109,2
8111,1.8
8113,5.8
8115,4.3
8117,46
8119,41.9
8121,1.9
8123,64.9
8125,4.3
9000,739.5
9001,1481.7
9003,1217.1
9005,205.1
9007,449.6
9009,1424.5
9011,411.2
9013,371.8
9015,230.5
10000,465.5
10001,281.2
10003,1271.4
10005,214
11000,10123
11001,10123
12000,355.4
12001,285
12003,46.4
12005,223.9
12007,96.1
12009,535.2
12011,1471.5
12013,26
12015,236
12017,240.7
12019,318.3
12021,164.2
12023,84.6
12027,54.8
12029,23.4
12031,1142.4
12033,455.6
12035,200.6
12037,21.7
12039,89.4
12041,48.6
12043,15.7
12045,28.1
12047,28.6
12049,43.7
12051,33.9
12053,366.3
12055,97
12057,1242.7
12059,41.5
12061,276.2
12063,53.7
12065,24.5
12067,16.5
12069,320.8
12071,804.8
12073,416.8
12075,35.9
12077,10
12079,27.5
12081,440.3
12083,209.9
12085,271.4
12086,1346.2
12087,75.1
12089,114.4
12091,197.2
12093,52.2
12095,1294.1
12097,208
12099,677.8
12101,624.5
12103,3350.6
12105,339
12107,101.8
12109,326
12111,490.2
12113,152.3
12115,687.6
12117,1374.6
12119,178.7
12121,61
12123,21.7
12125,63.2
12127,449.4
12129,51.1
12131,53.8
12133,42.8
13000,170.7
13001,36.3
13003,24.8
13005,43.3
13007,9
13009,172.3
13011,78.6
13013,436.1
13015,218.5
13017,70.7
13019,42.9
13021,626.3
13023,61.6
13025,41.5
13027,32.2
13029,72
13031,108.3
13033,28.4
13035,127.5
13037,24
13039,82.2
13043,46.4
13045,222.7
13047,397.9
13049,17.4
13051,636.8
13053,47.2
13055,82.1
13057,517.7
13059,984.4
13061,15.9
13063,1847.4
13065,8.5
13067,2054.3
13069,74.5
13071,83.9
13073,441.6
13075,75.4
13077,294
13079,38.7
13081,87
13083,95.2
13085,106.5
13087,46.4
13089,2615.6
13091,44.2
13093,37.2
13095,288.4
13097,666.6
13099,21
13101,10
13103,110.2
13105,56.6
13107,33.2
13109,60.5
13111,61.3
13113,554.6
13115,188.2
13117,811.7
13119,83.6
13121,1803.1
13123,66.4
13125,21.5
13127,191.5
13129,156.3
13131,55.6
13133,41.4
13135,1916.8
13137,156.4
13139,466
13141,19.9
13143,101.5
13145,69.6
13147,108.9
13149,39.7
13151,643.7
13153,383.2
13155,27.3
13157,180.3
13159,37.7
13161,45.8
13163,31.7
13165,23.5
13167,32.9
13169,72.4
13171,99.1
13173,56.2
13175,59.4
13177,80.3
13179,133.5
13181,37.4
13183,37.8
13185,225.5
13187,106.1
13189,84.2
13191,33.4
13193,36
13195,98.9
13197,23.9
13199,43.1
13201,21.7
13205,45.8
13207,67.3
13209,37.8
13211,51.7
13213,114.8
13215,897
13217,370.4
13219,181.1
13221,33.5
13223,459.7
13225,185.2
13227,126.8
13229,59.3
13231,82.1
13233,132.8
13235,47.1
13237,61.9
13239,16.3
13241,44
13243,17.6
13245,620.4
13247,660.8
13249,30.1
13251,22.3
13253,37.4
13255,325.9
13257,144.9
13259,12.9
13261,67.4
13263,17.2
13265,8.8
13267,53.6
13269,22.6
13271,36.7
13273,27.8
13275,82.1
13277,160.1
13279,75.4
13281,63.7
13283,34.2
13285,163.7
13287,31.1
13289,24.5
13291,65.6
13293,83.4
13295,154.2
13297,259.7
13299,40.9
13301,20.1
13303,31.1
13305,47.3
13307,13.3
13309,26.9
13311,113.3
13313,355.2
13315,24.6
13317,21.7
13319,21.1
13321,38.4
15000,214.1
15001,46.4
15003,1604
15005,7.5
15007,109.2
15009,134.9
16000,19.2
16001,380.8
16003,2.9
16005,75.3
16007,6.2
16009,11.9
16011,21.9
16013,8
16015,3.7
16017,23.5
16019,56.7
16021,8.5
16023,1.3
16025,1
16027,326.4
16029,3.9
16031,9
16033,0.5
16035,3.5
16037,0.9
16039,8.6
16041,19.4
16043,7
16045,29.7
16047,21.2
16049,1.9
16051,24.1
16053,38
16055,113.4
16057,35
16059,1.7
16061,8
16063,4.3
16065,80.7
16067,26.6
16069,46.6
16071,3.5
16073,1.5
16075,55.6
16077,5.5
16079,4.8
16081,22.6
16083,40.6
16085,2.6
16087,7.1
17000,231.8
17001,78.5
17003,34.1
17005,46.6
17007,193.7
17009,22.5
17011,39.8
17013,19.9
17015,34.1
17017,36.1
17019,202.4
17021,49.1
17023,32.2
17025,29.3
17027,80.1
17029,106.1
17031,5518.8
17033,44.8
17035,32.1
17037,165.9
17039,41.7
17041,47.6
17043,2819
17045,29.5
17047,29.8
17049,71.6
17051,30.9
17053,28.8
17055,96.9
17057,42.7
17059,17.1
17061,25.4
17063,119.9
17065,19.4
17067,24
17069,24.1
17071,19
17073,61.2
17075,26.4
17077,103.4
17079,19.6
17081,67.8
17083,62.1
17085,37.8
17087,36.8
17089,1000.4
17091,168.1
17093,364.1
17095,73.9
17097,1591.8
17099,100
17101,45
17103,48.9
17105,37.2
17107,48.8
17109,55.3
17111,512.2
17113,144.1
17115,190.7
17117,55.3
17119,375.2
17121,68.7
17123,32.4
17125,26.9
