id,democratic,republican,party
0,52.9,45.7,1
1000,38.7,60.3,2
1001,25.8,73.6,2
1003,23.8,75.3,2
1005,49,50.4,2
1007,26.6,72.4,2
1009,14.5,84,2
1011,74.1,25.7,1
1013,43.1,56.5,2
1015,33.2,65.7,2
1017,45.5,53.9,2
1019,23.7,74.9,2
1021,20.7,78.5,2
1023,46.1,53.5,2
1025,44,55.6,2
1027,25.8,73.1,2
1029,18,80.3,2
1031,25.2,74.1,2
1033,39.1,59.3,2
1035,49.4,50,2
1037,40.9,58.4,2
1039,20.5,78.8,2
1041,30.8,68.7,2
1043,16.6,81.8,2
1045,27.3,71.9,2
1047,67.1,32.6,1
1049,23.6,74.8,2
1051,24.2,75.1,2
1053,35.4,63.9,2
1055,30.2,68.4,2
1057,25.1,73.9,2
1059,29.7,68.8,2
1061,18.3,80.8,2
1063,83.1,16.5,1
1065,60.7,39,1
1067,34.9,64.6,2
1069,29.3,70.1,2
1071,30.5,67.5,2
1073,52.2,47.1,1
1075,22.8,76.6,2
1077,35,63.2,2
1079,35.2,63.2,2
1081,39.6,59.3,2
1083,28.4,70.3,2
1085,74.9,24.9,1
1087,86.9,12.8,1
1089,41.9,56.9,2
1091,51.7,48.1,1
1093,21,77.2,2
1095,21.2,77.6,2
1097,45.3,54,2
1099,44.7,54.9,2
1101,59.4,40.1,1
1103,27.5,71.3,2
1105,72.4,27.3,1
1107,45.6,54,2
1109,42.1,57.4,2
1111,29.5,69.1,2
1113,53.3,46,1
1115,17.9,81.1,2
1117,22.8,76.2,2
1119,75,24.7,1
1121,40.3,58.8,2
1123,31.4,67.9,2
1125,41.6,57.5,2
1127,25.9,72.3,2
1129,35,64.4,2
1131,71,28.8,1
1133,17.5,80.8,2
2000,37.9,59.4,2
2013,0,0,0
2016,0,0,0
2020,0,0,0
2050,0,0,0
2060,0,0,0
2068,0,0,0
2070,0,0,0
2090,0,0,0
2100,0,0,0
2105,0,0,0
2110,0,0,0
2122,0,0,0
2130,0,0,0
2150,0,0,0
2164,0,0,0
2170,0,0,0
2180,0,0,0
2185,0,0,0
2188,0,0,0
2195,0,0,0
2198,0,0,0
2220,0,0,0
2230,0,0,0
2240,0,0,0
2261,0,0,0
2270,0,0,0
2275,0,0,0
2282,0,0,0
2290,0,0,0
4000,45.1,53.6,2
4001,63.4,35.2,1
4003,38.8,59.5,2
4005,57.8,40.8,1
4007,35.3,63.1,2
4009,29,69.8,2
4011,40,58.8,2
4012,34.7,63.2,2
4013,44.1,54.7,2
4015,32.7,65.6,2
4017,43.5,55.2,2
4019,52.4,46.4,1
4021,42.2,56.7,2
4023,65.3,34,1
4025,37,61.4,2
4027,42.6,56.3,2
5000,38.9,58.7,2
5001,37.5,60,2
5003,34.4,62.6,2
5005,32.7,64.3,2
5007,30.7,67.2,2
5009,28.7,68.3,2
5011,41.6,56,2
5013,31.2,65.9,2
5015,39.4,57.5,2
5017,58.4,40.7,1
5019,46.9,50.7,2
5021,40.7,55,2
5023,26,70.2,2
5025,26,69.9,2
5027,37.2,61.3,2
5029,38.7,57.6,2
5031,36.5,61,2
5033,25.5,71.5,2
5035,56.6,41.9,1
5037,36.2,61.6,2
5039,44.3,53,2
5041,54.9,42.7,1
5043,39.3,58.4,2
5045,36.3,61.6,2
5047,28.9,68.1,2
5049,38.9,57.8,2
5051,36.4,61.4,2
5053,23,73.9,2
5055,33.4,63,2
5057,39,58.1,2
5059,35.9,60.3,2
5061,36,61,2
5063,30,67.1,2
5065,34.3,61.2,2
5067,39.5,55.9,2
5069,62.2,35.9,1
5071,37.1,60.2,2
5073,39,58.1,2
5075,36.7,57.6,2
5077,60.1,38.6,1
5079,38.8,57,2
5081,34,63,2
5083,28.9,67.7,2
5085,25.1,72.6,2
5087,33.9,62.8,2
5089,33.3,63.2,2
5091,32.3,65.8,2
5093,47.6,49.8,2
5095,46.8,50.9,2
5097,30.1,65.3,2
5099,40.6,56.7,2
5101,29.8,65.4,2
5103,43.6,54.5,2
5105,31.6,64.1,2
5107,63.5,34.5,1
5109,27.5,68.8,2
5111,34.6,61.8,2
5113,25.5,71.3,2
5115,27.2,70.5,2
5117,31,65.7,2
5119,55.1,43.5,1
5121,39.1,57.2,2
5123,57.7,41.2,1
5125,28.4,69.4,2
5127,26.4,69.9,2
5129,25,70.9,2
5131,31.6,66.3,2
5133,28.2,68.2,2
5135,33.6,62.5,2
5137,30,66.4,2
5139,36,62.2,2
5141,32.1,63.8,2
5143,42.4,55.5,2
5145,25,72.2,2
5147,51.1,43.7,1
5149,33.2,63.1,2
6000,61,37,1
6001,78.8,19.3,1
6003,61,36.4,1
6005,41.5,56.1,2
6007,49.8,47.5,1
6009,42.1,55.1,2
6011,40,58.1,2
6013,68,30.2,1
6015,45.4,52.1,2
6017,43.6,54.1,2
6019,50.2,48.1,1
6021,37.8,59.8,2
6023,62.3,34.1,1
6025,62.2,36.1,1
6027,43.9,53,2
6029,40.1,57.9,2
6031,42,56.1,2
6033,58.2,38.9,1
6035,31.5,65.7,2
6037,69.2,28.8,1
6039,42.4,55.7,2
6041,78,20.2,1
6043,42.5,54.9,2
