id,density,income_per_capita,poverty,bachelor,unemployment,foreign_born
1001,93,23774,10.30617603,21.8,9.7,1.6
1003,117.4,26197,11.92493733,26.6,9.1,3
1005,30.6,15842,24.74964765,12.4,13.4,2.6
1007,36.6,18953,11.89652653,11.1,12.1,1
1009,89.5,20360,10.95393156,12.3,9.9,4.5
1011,16.9,17746,32.27418442,9,16.4,1.4
1013,26.6,17221,21.99132452,12.3,16.7,1
1015,194.4,21372,17.54373178,17.5,10.8,2.3
1017,56.9,17072,16.00034865,10.3,18.6,0.7
1019,47.1,20434,14.64623329,10,11.8,0.3
1021,63.4,20326,17.18850602,11.3,9.9,3
1023,14.9,16193,22.79565249,10.8,12.7,0.4
1025,20.7,16790,26.13994617,13.5,17,0.8
1027,23,18267,17.73272186,9,15.9,2.1
1029,26.5,18365,16.43835616,10.2,10.4,0.9
1031,74.4,22706,16.08002802,21.5,8.5,4.4
1033,92,21689,13.99004017,16.9,11.4,1.4
1035,15.4,16960,29.01466861,9.2,19.5,0.1
1037,16.5,18563,20.14263685,9.2,14,0.7
1039,36.9,18958,18.12286124,13.2,10.1,1
1041,22.8,19900,21.85016191,11.2,9.7,3.7
1043,109.6,20339,16.58298448,13.3,9.6,2.3
1045,89.2,21299,14.20260695,16.6,9.3,3.3
1047,44.3,16304,32.00625252,13.9,21.1,0.9
1049,91.8,17552,20.94856399,10.2,14.3,6
1051,129.6,21866,13.14517276,18.8,9,1.9
1053,40.3,16711,22.83914953,11.2,12.9,1
1055,195,20354,16.27019904,15.5,10.7,2.3
1057,27.4,18228,16.10711201,9.7,12.8,0.5
1059,50.3,17610,18.42619908,11.6,12.3,7.9
1061,46.6,17697,16.06155804,8.4,10,1.5
1063,13.8,14564,31.2044429,9.2,14.7,0.7
1065,23.9,15221,25.66071329,9.1,12.7,0.9
1067,31,18438,15.56071058,13.7,9.9,2.5
1069,176.6,22797,15.97382884,19.4,8.9,1.8
1071,49.4,18742,17.66245677,11.3,11.8,1.3
1073,592.9,26256,15.2008408,28.1,10.7,3.8
1075,23.7,19926,17.06747772,9,14.8,0.5
1077,139,21737,18.01117473,20.3,10.5,1.6
1079,49.4,19795,12.43201703,10.3,13.6,1.5
1081,236.1,22384,20.15201266,30.7,8.6,3.9
1083,152.5,21943,12.83012486,18.2,9.3,3.2
1085,15.6,16466,25.84556477,13.5,18.5,0.2
1087,34.8,15494,28.0305375,20.1,11.4,0.5
1089,424.3,29588,11.33449386,37.9,7.5,4.8
1091,21.2,17403,26.72066718,15.7,14.8,0.3
1093,41.3,18654,18.18977591,9,15.2,0.8
1095,166.4,19654,20.30974725,14.7,9.2,6.7
1097,335.6,21274,19.10217342,19.7,11.1,3
1099,22.2,17951,24.97004128,11.5,18.7,0.6
1101,295.9,25102,17.80448965,30.5,10.2,2.9
1103,207.1,22758,15.43863668,19.6,10.4,4.5
1105,14.4,14266,23.79832277,11.6,19.8,0.2
1107,22,16475,26.21294148,12.3,13,0.7
1109,49,19085,29.06704334,22.2,8.7,2.5
1111,39.3,18813,19.93855184,13.1,15.1,1
1113,85.1,18386,21.80467955,11.9,12.6,1.8
1115,133.6,21067,11.2963161,14.5,10.7,1.5
1117,252.2,33607,6.404038842,39.9,7.6,4.5
1119,14.9,13667,40.2143951,12.1,13.9,0.5
1121,110.8,18710,19.03335513,11.8,13.6,1.4
1123,58.1,22595,17.29373757,15.7,13.7,0.9
1125,149.2,22489,20.50539154,26.9,9,3
1127,84.3,20321,16.88300208,9.8,11.9,0.8
1129,16.1,17748,20.01550203,9,15.1,0.5
1131,12.9,12258,36.52145957,17,25.6,0
1133,39.7,16855,23.13264306,11.7,17.5,1.4
2013,0.5,21788,10.41030858,12.5,10.1,63.1
2016,1.3,34966,12.10702341,8.5,8.4,44.6
2020,173.4,33436,7.80729447,32.3,7,8.5
2050,0.4,18169,18.24804549,14.4,14.8,0.6
2060,2,28662,5.612998523,14.2,3.6,1
2068,0.1,44689,6.104129264,24.6,3.4,3.9
2070,0.3,23324,18.33468395,20.5,8.4,1.7
2090,13.5,28373,7.976457581,26.3,6.9,5
2100,1.1,28843,4.579207921,36.2,6.2,0.1
2110,11.9,34880,6.674399337,35.8,5.7,6.5
2122,3.5,26940,9.678480229,21.4,9.7,3.2
2130,2.8,29867,9.348594254,24.1,6.1,6.2
2150,2.1,26862,10.55837563,20.7,6.6,16.9
2164,0.1,16450,22.11815562,17.3,5.9,1.5
2170,3.7,24906,10.29214821,19.9,8.8,2.9
2180,0.4,20452,23.15389924,15.1,12.1,1.2
2185,0.1,24125,14.80589828,19.4,5.7,7.4
2188,0.2,20001,19.22348485,13.2,13.2,1.7
2220,3.1,30013,6.717894982,26.2,5.9,4.3
2230,2.1,32801,9.324452902,31,7.3,12.8
2240,0.3,24209,11.60933661,16.6,8.1,4.9
2261,0.3,27708,8.106689069,22,6.4,5.4
2270,0.4,11382,31.738437,11.2,20.4,0.4
2275,0.9,28485,9.826860084,14.8,9.8,1.8
2282,0.1,28608,3.365384615,17,6.3,1
2290,0,18516,24.10854062,12.9,13.6,1.2
4001,6.5,11614,36.75312509,9.7,14.8,1.5
4003,21.6,22419,16.30542034,21.6,7.4,12.3
4005,7.2,22238,17.38586566,30.1,7.7,5.1
4007,11.2,19054,19.27876855,14.5,10.9,3.5
4009,8,15842,18.937882,13.5,14.4,4.5
4011,4.7,20754,14.84852425,13,21.5,4.5
4012,4.5,20050,19.70535941,9.9,8.9,14
4013,421.8,27185,13.35260939,28,8.5,16.8
4015,15.2,21321,15.45210821,12.1,10.2,6.1
4017,10.8,15794,24.62512342,13.3,14.2,2.6
4019,107.7,24556,15.72895772,29,8.4,13.2
4021,71.4,21526,13.86020724,18,11.8,10.9
4023,38.5,15706,22.08427923,16.3,17.2,32.3
4025,26.1,25458,12.65879228,23.9,9.5,7.2
4027,36.4,18244,19.8883488,13,24.2,25
5001,19.1,20898,18.37210563,12.8,14.3,1.2
5003,23.4,18949,20.30318436,13.9,9.1,2.2
5005,74.9,20632,15.2193728,13.3,8.2,1.8
5007,268.5,24647,11.23097706,24.9,5.3,9.3
5009,62.8,20182,15.98678824,14.6,6.4,0.8
5011,17.7,15654,34.91902834,9.4,7.8,6.7
5013,8.2,16869,15.80114581,10,6.2,1.2
5015,43.7,19134,18.38205099,15.1,4.3,8.8
5017,18.2,13954,37.81594011,10,9.6,2.1
5019,26.4,16212,26.38971907,21,6.3,2.5
5021,24.8,18911,19.54704268,9.4,10.4,0.3
5023,46.8,20280,16.12678366,13.6,5.9,1
5025,14.5,18875,16.92931634,12.6,6,0.5
5027,31.9,20460,19.74373652,19.7,8.1,2.5
5029,38.5,19562,16.74230225,14.3,6.5,1.4
5031,139,21521,17.52214606,22.6,5.9,2.6
5033,104.4,18637,19.31452991,11.8,6.6,3.5
5035,82.9,18104,26.15875983,14.7,9.9,1.1
5037,28.8,18060,16.30128066,13.4,7.1,0.8
5039,12.1,16971,19.98964937,13.7,7.6,0.4
5041,16.6,16562,29.98471282,12.3,9.9,2.4
5043,22.3,18789,23.34313504,19.8,9.1,1.4
5045,179.6,22080,15.86262959,26.6,6,3
5047,29.6,17266,19.95767903,13,5.9,1.1
5049,19.9,17096,19.58762887,9.1,6.1,0.4
5051,143.3,22318,15.92938204,19.6,6.6,3.9
5053,28.5,22449,9.553772441,16.6,5.7,1.6
5055,73.9,17923,18.1298688,12.7,8.2,0.7
5057,31,17207,23.22152599,13.9,8.6,7.3
5059,53.4,17922,14.17657046,11.7,7.3,0.6
5061,23.6,19218,21.76647134,12.4,7.2,7.3
5063,48.3,19776,17.65163065,14.5,7.8,2.2
5065,23.1,17609,20.07893041,12.3,7.7,1.5
5067,28.2,15124,29.16470351,8.4,9.2,0.6
5069,87.6,18735,22.21941992,16.6,9.2,1.7
5071,39,15985,20.08299799,13.9,6.1,6.7
5073,14.2,17593,21.17539745,11.6,8.6,0
5075,29.2,15520,23.75721818,10.7,7.9,0.5
5077,17.1,14685,30.27522936,8.4,8.2,1.3
5079,24.9,16222,24.35479609,10.4,8.2,1.1
5081,24.4,19036,17.98057015,12.8,5.6,0.1
5083,31.5,18924,17.25091428,10.6,7.7,1.1
5085,90,22154,12.27199464,16.5,5.2,1.6
5087,18.9,17776,17.63504611,13.5,5.3,2.7
5089,27.8,19032,18.20835614,15.3,11.2,1.5
5091,69.9,19445,18.09722522,13.8,4.5,1.6
5093,51,18053,25.18876931,10.9,11.3,1.9
5095,13.3,16445,22.84385065,11,7.4,1.4
5097,12.1,20054,17.09022306,10.6,5.8,1.6
5099,14.6,21992,21.36165577,12.9,8.7,0.3
5101,10.1,15528,22.54167673,12.1,6.2,0.4
5103,35.3,18072,20.28483752,11.9,7.1,0.7
5105,18.9,20418,14.26208775,11.4,5.6,1.4
5107,30.8,14187,34.61201126,11,8.8,0.5
5109,18.7,18536,17.92064383,11.1,6.3,3.6
5111,32.3,16436,24.59258046,8.8,7.5,0.7
5113,24,17047,19.10643489,9.7,6.4,2.3
5115,76.7,19281,17.90881649,19.9,6.2,2.7
5117,13.3,17024,18.59513791,9.6,6.7,0.3
5119,508.4,26975,15.39856497,31,6,4.6
5121,27.6,17577,19.07315421,9.7,7.3,0.9
5123,44.1,13273,30.71294804,9.4,9.4,2.1
5125,151.4,24099,10.37074255,21.8,5.8,2.1
5127,12.6,16668,26.22483684,9.1,6.3,4.1
5129,12.1,15617,19.35359754,9.6,5.9,0.5
5131,239,21568,17.02929501,17.4,6.2,8.5
5133,30.6,16123,19.60820437,9.3,5.1,17.4
5135,28.8,15655,20.52249637,10.3,7.8,0.4
5137,20.8,15473,24.87055428,7,6.6,0.4
5139,39.9,20247,20.63657462,15.9,9.5,1.6
5141,24.1,17300,17.96311147,13.7,9.1,1.2
5143,220.3,22508,16.3534419,28.5,5,9.8
5145,75.5,20238,16.40600156,16.5,6.7,2
5147,12.3,19790,25.8895866,10.2,9.1,0.5
5149,23.7,15993,17.12840503,8,6.4,12.1
6001,2070.1,33831,10.9450463,39.9,11.3,30.1
6003,1.5,30436,12.21513218,26.8,15.2,2.9
6005,63.8,26532,8.914556493,19.5,12.1,4.8
6007,134.6,22904,18.32421132,24.8,12.2,7.8
6009,44.2,27728,9.736030912,19.3,14.3,4.4
6011,18.7,20381,15.72293273,12.9,14.5,26.4
6013,1489.1,37742,8.640221266,37.7,11.2,23.1
6015,28.5,19016,19.39312947,15,11.9,6.9
6017,105.9,34203,7.6767422,31.1,11.2,8.2
6019,158.3,20375,20.91701493,19.4,14.1,21.5
6021,21.4,19257,17.83531104,14.5,13.8,15.9
6023,37.8,23496,18.17320326,26.9,10.3,5.2
6025,42.4,16017,21.2305026,11.9,30.1,31.5
6027,1.8,27358,10.88702687,21.2,9.5,9.2
6029,104.7,19939,20.41501715,14.6,13.9,19.8
6031,110.7,17416,19.13526101,11.5,13.9,20.6
6033,51.2,21425,18.8,16.1,14.7,8.1
6035,7.5,19239,13.77013695,11.5,11.8,7.5
6037,2437,26983,15.44364475,28.4,12.7,35.4
6039,71.6,18988,18.0031266,12.9,12.3,20.3
6041,490.2,53284,6.422072057,53.9,8,18.3
6043,12.6,26642,10.12118492,18.1,8.8,4.2
6045,25,24101,16.26304112,23.3,10.1,11.1
6047,134.3,17994,21.08855855,12.7,15.7,24.7
6049,2.4,20193,15.76198047,14.4,11.1,6
6051,4.7,28938,14.26692456,29.5,10.3,16.5
6053,128.6,25345,13.29162539,23.6,10,29.6
6055,184.5,34955,9.655547357,30.3,8.7,21.5
6057,103,31100,8.053782002,32.4,10.9,5.1
6059,3865.3,33901,9.609052615,35.2,9.4,30
6061,253.8,35617,6.210749012,33.5,11.3,9.7
6063,7.7,27639,11.01243339,20.8,13.9,4.7
6065,310.8,24642,12.26581888,20.4,14.7,22
6067,1488.7,27033,13.18633424,27.9,12.2,19.4
6069,40.4,25840,11.10601614,17.7,12.5,20.5
6071,103,21792,14.33110911,18.2,13.6,21.1
6073,746.5,30705,11.54099319,34,10.2,22.7
6075,17341.1,44373,11.53521643,51.1,9.7,34.4
6077,500.4,22767,15.33377763,17.1,15.5,23.1
6079,82.5,29098,13.5722808,30,9,9.6
6081,1621.8,43286,7.210809658,43.6,9,33.3
6083,156.1,29487,13.80837983,31.3,8.5,22.2
6085,1402.5,39201,8.570802796,43.9,11.8,36
6087,593.7,33532,12.67391162,38.7,10.2,17.2
6089,47.1,23964,15.36966854,19.4,14.7,5.6
6091,3.3,27948,6.910697381,20.9,13.7,2.1
6093,7.1,22528,15.40668978,22,13.5,5.6
6095,506.8,28288,9.906509774,23.9,11.5,19.4
6097,309.7,32939,9.614059797,31.1,9.9,16.3
6099,346.9,21931,15.13706025,16.1,15.3,20
6101,157.6,22830,12.84500707,18.5,15.1,21.5
6103,21.6,20299,19.78506289,13,13.7,10.6
6105,4.3,21963,15.07620692,18.1,15.9,1.7
6107,93.1,17865,22.55113839,12.9,14.9,22.6
6109,24.7,26775,10.37479522,17.7,12.7,3.9
6111,451.3,32063,9.047866114,30.3,11,22
6113,199.1,26761,17.18045577,36.8,10.9,20.3
6115,114.9,20278,17.44748189,12.9,17.8,12.2
8001,386.6,24000,13.11404301,20,8.1,15.3
8003,21.7,17798,27.55561814,26.6,5.5,6.8
8005,732.9,31808,11.21725028,38.2,6.9,14.2
8007,8.9,22208,15.28824107,35.1,6.2,1.6
8009,1.5,19960,14.58878994,17.1,3.4,3
8011,4.1,16189,31.71730231,14.5,5,5
