id,foreign_born
0,12.4
1000,2.9
1001,1.6
1003,3
1005,2.6
1007,1
1009,4.5
1011,1.4
1013,1
1015,2.3
1017,0.7
1019,0.3
1021,3
1023,0.4
1025,0.8
1027,2.1
1029,0.9
1031,4.4
1033,1.4
1035,0.1
1037,0.7
1039,1
1041,3.7
1043,2.3
1045,3.3
1047,0.9
1049,6
1051,1.9
1053,1
1055,2.3
1057,0.5
1059,7.9
1061,1.5
1063,0.7
1065,0.9
1067,2.5
1069,1.8
1071,1.3
1073,3.8
1075,0.5
1077,1.6
1079,1.5
1081,3.9
1083,3.2
1085,0.2
1087,0.5
1089,4.8
1091,0.3
1093,0.8
1095,6.7
1097,3
1099,0.6
1101,2.9
1103,4.5
1105,0.2
1107,0.7
1109,2.5
1111,1
1113,1.8
1115,1.5
1117,4.5
1119,0.5
1121,1.4
1123,0.9
1125,3
1127,0.8
1129,0.5
1131,0
1133,1.4
2000,6.6
2013,63.1
2016,44.6
2020,8.5
2050,0.6
2060,1
2068,3.9
2070,1.7
2090,5
2100,0.1
2105,3.1
2110,6.5
2122,3.2
2130,6.2
2150,16.9
2164,1.5
2170,2.9
2180,1.2
2185,7.4
2188,1.7
2195,4.2
2198,3.2
2220,4.3
2230,12.8
2240,4.9
2261,5.4
2270,0.4
2275,1.8
2282,1
2290,1.2
4000,14.7
4001,1.5
4003,12.3
4005,5.1
4007,3.5
4009,4.5
4011,4.5
4012,14
4013,16.8
4015,6.1
4017,2.6
4019,13.2
4021,10.9
4023,32.3
4025,7.2
4027,25
5000,4
5001,1.2
5003,2.2
5005,1.8
5007,9.3
5009,0.8
5011,6.7
5013,1.2
5015,8.8
5017,2.1
5019,2.5
5021,0.3
5023,1
5025,0.5
5027,2.5
5029,1.4
5031,2.6
5033,3.5
5035,1.1
5037,0.8
5039,0.4
5041,2.4
5043,1.4
5045,3
5047,1.1
5049,0.4
5051,3.9
5053,1.6
5055,0.7
5057,7.3
5059,0.6
5061,7.3
5063,2.2
5065,1.5
5067,0.6
5069,1.7
5071,6.7
5073,0
5075,0.5
5077,1.3
5079,1.1
5081,0.1
5083,1.1
5085,1.6
5087,2.7
5089,1.5
5091,1.6
5093,1.9
5095,1.4
5097,1.6
5099,0.3
5101,0.4
5103,0.7
5105,1.4
5107,0.5
5109,3.6
5111,0.7
5113,2.3
5115,2.7
5117,0.3
5119,4.6
5121,0.9
5123,2.1
5125,2.1
5127,4.1
5129,0.5
5131,8.5
5133,17.4
5135,0.4
5137,0.4
5139,1.6
5141,1.2
5143,9.8
5145,2
5147,0.5
5149,12.1
6000,26.8
6001,30.1
6003,2.9
6005,4.8
6007,7.8
6009,4.4
6011,26.4
6013,23.1
6015,6.9
6017,8.2
6019,21.5
6021,15.9
6023,5.2
6025,31.5
6027,9.2
6029,19.8
6031,20.6
6033,8.1
6035,7.5
6037,35.4
6039,20.3
6041,18.3
6043,4.2
6045,11.1
6047,24.7
6049,6
6051,16.5
6053,29.6
6055,21.5
6057,5.1
6059,30
6061,9.7
6063,4.7
6065,22
6067,19.4
6069,20.5
6071,21.1
6073,22.7
6075,34.4
6077,23.1
6079,9.6
6081,33.3
6083,22.2
6085,36
6087,17.2
6089,5.6
6091,2.1
6093,5.6
6095,19.4
6097,16.3
6099,20
6101,21.5
6103,10.6
6105,1.7
6107,22.6
6109,3.9
6111,22
6113,20.3
6115,12.2
8000,9.8
8001,15.3
8003,6.8
8005,14.2
8007,1.6
8009,3
8011,5
8013,10.9
8014,7.5
8015,2.4
8017,3.2
8019,2.3
8021,3.8
8023,8.8
8025,4.8
8027,1.3
8029,4.7
8031,17.4
8033,0.2
8035,6
8037,19.9
8039,2.1
8041,7.4
8043,4.2
8045,15.2
8047,3
8049,5.5
8051,5
8053,0.5
8055,4.1
8057,0.8
8059,6.4
8061,2.1
8063,11.5
8065,12.9
8067,3.5
8069,5.2
8071,2.9
8073,5.8
8075,5
8077,4
8079,0.8
8081,5.5
8083,1.7
8085,7.3
8087,12.5
8089,3.9
8091,2.7
8093,4.2
8095,12.5
8097,13.8
8099,14.2
8101,3.5
8103,4.9
8105,3.8
8107,4.1
8109,13.7
8111,0
8113,7.3
8115,2.9
8117,13.4
8119,2.2
8121,4.4
8123,9.3
8125,12.8
9000,12.8
9001,19.6
9003,13.5
9005,6.5
9007,7.3
9009,11.1
9011,7.5
9013,6.5
9015,4.5
10000,7.8
10001,5
10003,9.2
10005,5.9
11000,12.5
11001,12.5
12000,18.7
12001,9.8
12003,1.1
12005,5.2
12007,2.5
12009,8.3
12011,29.6
12013,4.3
12015,9.6
12017,5.5
12019,5.9
12021,22.9
12023,3.7
12027,23.7
12029,2.1
12031,8.3
12033,5.2
12035,12.2
12037,2.9
12039,6
12041,2.4
12043,13.7
12045,3
12047,5
12049,20
12051,28.1
12053,6.8
12055,11.5
12057,14.5
12059,1.8
12061,10.1
12063,3.3
12065,4.8
12067,4.3
12069,8.3
12071,14.3
12073,6.3
12075,4.3
12077,1
12079,3.4
12081,11.5
12083,7.2
12085,10.1
12086,49.4
12087,16.4
12089,2.9
12091,6.6
12093,13.8
12095,18.4
12097,19.8
12099,21.2
12101,9
12103,11
12105,10.1
12107,4.5
12109,6.4
12111,15.5
12113,5.1
12115,11.7
12117,11.5
12119,6.8
12121,5.9
12123,1.6
12125,7.3
12127,7.5
12129,1.9
12131,4.4
12133,2.8
13000,9.1
13001,5
13003,11.9
13005,3.3
13007,0
13009,2.3
13011,3
13013,6.6
13015,4.2
13017,5.1
13019,2.1
13021,2.7
13023,1.8
13025,1
13027,5.1
13029,4
13031,2.7
13033,1
13035,1.3
13037,3.6
13039,2.2
13043,6.2
13045,4.3
13047,2.1
13049,0.3
13051,4.6
13053,5.9
13055,2.4
13057,8.6
13059,10
13061,0
13063,13.3
