id,below_poverty,total
0,39537240,293507923
1000,757833,4512909
1001,5103,49514
1003,20265,169938
1005,6673,26962
1007,2442,20527
1009,6156,56199
1011,3423,10606
1013,4360,19826
1015,19256,109760
1017,5507,34418
1019,3517,24013
1021,7208,41935
1023,3167,13893
1025,6799,26010
1027,2204,12429
1029,2340,14235
1031,7346,45684
1033,7557,54017
1035,3778,13021
1037,2090,10376
1039,6567,36236
1041,2969,13588
1043,13112,79069
1045,6494,45724
1047,13514,42223
1049,14165,67618
1051,9245,70330
1053,7906,34616
1055,16422,100933
1057,2797,17365
1059,5559,30169
1061,4039,25147
1063,2697,8643
1065,4612,17973
1067,2549,16381
1069,15259,95525
1071,9244,52337
1073,98494,647951
1075,2413,14138
1077,15602,86624
1079,4206,33832
1081,25347,125779
1083,9104,70958
1085,3240,12536
1087,5434,19386
1089,34509,304460
1091,5575,20864
1093,5195,28560
1095,17638,86845
1097,75849,397070
1099,5626,22531
1101,38126,214137
1103,17521,113488
1105,2327,9778
1107,5084,19395
1109,8437,29026
1111,4348,21807
1113,10717,49150
1115,8451,74812
1117,11594,181042
1119,5252,13060
1121,14551,76450
1123,6959,40240
1125,35104,171194
1127,11459,67873
1129,3357,16772
1131,4544,12442
1133,5429,23469
2000,64038,666059
2013,307,2949
2016,543,4485
2020,21466,274948
2050,3081,16884
2060,38,677
2068,68,1114
2070,905,4936
2090,7359,92259
2100,111,2424
2105,237,2021
2110,2014,30175
2122,5003,51692
2130,1217,13018
2150,1352,12805
2164,307,1388
2170,8300,80644
2180,2013,8694
2185,984,6646
2188,1421,7392
2195,382,3862
2198,729,5545
2220,577,8589
2230,98,1051
2240,756,6512
2261,772,9523
2270,2388,7524
2275,210,2137
2282,14,416
2290,1386,5749
4000,914040,6204965
4001,25109,68318
4003,19830,121616
4005,21265,122312
4007,9794,50802
4009,6073,32068
4011,1142,7691
4012,3879,19685
4013,508722,3809907
4015,29164,188738
4017,26686,108369
4019,152597,970166
4021,37948,273791
4023,9339,42288
4025,26118,206323
4027,36374,182891
5000,488788,2755680
5001,3388,18441
5003,4393,21637
5005,6178,40593
5007,23195,206527
5009,5663,35423
5011,4140,11856
5013,855,5411
5015,4924,26787
5017,4294,11355
5019,5298,20076
5021,3133,16028
5023,3933,24388
5025,1461,8630
